Depth,Actual Mean (°C),Pred Mean (°C),RMSE (°C),MAE (°C),Bias (°C)
0.0m,29.42,28.94,0.945,0.866,-0.486
5.0m,29.38,28.83,0.954,0.857,-0.549
10.0m,29.33,28.81,0.945,0.829,-0.523
20.0m,29.22,28.77,0.945,0.811,-0.455
30.0m,29.01,28.56,0.943,0.773,-0.449
50.0m,28.22,27.51,1.189,1.037,-0.711
75.0m,26.38,25.01,2.269,1.894,-1.367
100.0m,22.93,21.65,3.192,2.357,-1.275
125.0m,18.91,18.57,2.035,1.729,-0.34
150.0m,16.56,16.43,1.45,1.208,-0.13
200.0m,13.97,14.32,1.03,0.771,0.348
300.0m,11.86,12.3,0.684,0.466,0.441
500.0m,10.49,10.66,0.391,0.301,0.169
700.0m,9.46,9.27,0.363,0.267,-0.197
1000.0m,7.56,7.18,0.499,0.415,-0.38
